node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
20 238 371 -0.1926 -0.0640 -15.0042 -0.6916 -0.0951 -15.0025 0.0091 13.6799 53.4920 2 2 371  
1138 1139 6 1.3141 -6.3046 -7.2285 1.5041 -7.0382 -8.5223 0.0543 13.7432 53.5000 5 2 6  
2138 2139 9 -6.9815 -2.5572 -8.4092 -7.6897 -2.7394 -9.7014 0.0393 13.7696 53.5000 5 2 9  
3255 3256 13 0.0245 -0.0837 -1.0490 0.4059 -1.3997 -1.6890 0.0340 13.8589 49.8000 5 2 13  
39 40 1 -1.0759 -1.1903 -27.4679 -0.9070 -1.3555 -28.4386 0.0255 13.9095 63.0000 1 2 1  
2998 2999 12 -0.2929 1.3250 -1.8530 -0.5804 2.5350 -2.7014 0.0330 13.9407 50.3000 5 2 12  
2704 2705 11 -2.3473 -1.0077 -2.7848 -3.4260 -1.4602 -3.6981 0.0505 13.9798 50.8000 5 2 11  
2418 2419 10 -4.3029 0.1405 -7.1380 -4.6215 0.5190 -8.5416 0.0543 14.0208 53.0000 5 2 10  
749 750 527 2.0821 -0.6839 -4.8097 3.0019 -1.0710 -4.7456 0.0100 14.0245 56.9771 3 2 527  
845 846 5 -2.3915 6.1475 -7.1576 -2.6628 7.2129 -8.1423 0.0634 14.0671 54.0000 5 2 5  
1803 1804 8 -6.7972 6.3630 -8.5749 -7.5402 7.1275 -9.6409 0.0569 14.0754 54.0000 5 2 8  
1456 1457 7 4.3175 -4.6065 -9.3171 4.1902 -5.0679 -10.7391 0.0522 14.0760 53.0000 5 2 7  
713 714 4 2.3791 0.3635 -15.3900 2.2963 0.3831 -16.8790 0.0186 14.2778 61.5000 4 2 4  
2139 2140 9 -7.6897 -2.7394 -9.7014 -7.9527 -3.0460 -11.1083 0.0393 14.3152 53.5000 5 2 9  
1139 1140 6 1.5041 -7.0382 -8.5223 1.5219 -7.5788 -9.9336 0.0543 14.3768 53.5000 5 2 6  
3256 3257 13 0.4059 -1.3997 -1.6890 0.7469 -2.7195 -2.3409 0.0340 14.4833 49.8000 5 2 13  
40 41 1 -0.9070 -1.3555 -28.4386 -0.9259 -1.4494 -29.4340 0.0255 14.4861 63.0000 1 2 1  
1135 1202 645 0.6711 -3.6297 -3.7097 0.7709 -3.6323 -3.7156 0.0113 14.4915 49.0177 3 2 645  
41 42 1 -0.9259 -1.4494 -29.4340 -0.9287 -1.4533 -29.4606 0.0255 14.5017 63.0000 1 2 1  
2999 3000 12 -0.5804 2.5350 -2.7014 -1.0486 3.6630 -3.5837 0.0330 14.5517 50.3000 5 2 12  
