 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date: ***.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = -    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  59   -58.0000   -1646.196 0.1139   0.3206E-05  0.1237E-04  0.1747E-03  0.3572E-03      -1   0.700E-05   20.00
  60   -59.0000   -1591.774 0.1145   0.3472E-05  0.1291E-04  0.1525E-03  0.2820E-03      -1   0.611E-05   20.00
  61   -60.0000   -1555.223 0.1149   0.3655E-05  0.1327E-04  0.9563E-04  0.2821E-03      -1   0.383E-05   20.00
  62   -61.0000   -1537.132 0.1152   0.3901E-05  0.1360E-04  0.1038E-03  0.3895E-03      -1   0.416E-05   20.00
  63   -62.0000   -1501.596 0.1158   0.4384E-05  0.1423E-04  0.8802E-04  0.1601E-03      -1   0.353E-05   20.00
  64   -63.0000   -1493.172 0.1159   0.4498E-05  0.1438E-04  0.3798E-04  0.2589E-03      -1   0.152E-05   20.00
  65   -64.0000   -1482.765 0.1161   0.4640E-05  0.1457E-04  0.4048E-04  0.2825E-03      -1   0.162E-05   20.00
  66   -65.0000   -1473.686 0.1162   0.4763E-05  0.1473E-04  0.7850E-04  0.3889E-03      -1   0.314E-05   20.00
  67   -66.0000   -1448.566 0.1166   0.5105E-05  0.1518E-04  0.7604E-04  0.2111E-03      -1   0.305E-05   20.00
  68   -67.0000   -1441.151 0.1167   0.5205E-05  0.1532E-04  0.8262E-04  0.3741E-03      -1   0.331E-05   20.00
  69   -68.0000   -1415.581 0.1171   0.5553E-05  0.1577E-04  0.1113E-03  0.1779E-03      -1   0.446E-05   20.00
  70   -69.0000   -1398.621 0.1174   0.5783E-05  0.1608E-04  0.6738E-04  0.1083E-03      -1   0.270E-05   20.00
  71   -70.0000   -1390.038 0.1175   0.5900E-05  0.1623E-04  0.5256E-04  0.1516E-03      -1   0.211E-05   20.00
  72   -71.0000   -1378.859 0.1177   0.6052E-05  0.1643E-04  0.5619E-04  0.1032E-03      -1   0.225E-05   20.00
  73   -72.0000   -1369.430 0.1179   0.6180E-05  0.1660E-04  0.4202E-04  0.5352E-04      -1   0.168E-05   20.00
  74   -73.0000   -1363.211 0.1180   0.6265E-05  0.1671E-04  0.3335E-04  0.6437E-04      -1   0.134E-05   20.00
  75   -74.0000   -1356.785 0.1181   0.6352E-05  0.1683E-04  0.3174E-04  0.5310E-04      -1   0.127E-05   20.00
  76   -75.0000   -1351.207 0.1182   0.6428E-05  0.1693E-04  0.2688E-04  0.4229E-04      -1   0.108E-05   20.00
  77   -76.0000   -1346.412 0.1182   0.6493E-05  0.1701E-04  0.2393E-04  0.3629E-04      -1   0.959E-06   20.00
  78   -77.0000   -1341.833 0.1183   0.6555E-05  0.1709E-04  0.1548E-04  0.4695E-05      -1   0.620E-06   20.00
  79   -78.0000   -1339.674 0.1183   0.6585E-05  0.1713E-04  0.8647E-05  0.2046E-04      -1   0.346E-06   20.00
  80   -79.0000   -1337.208 0.1184   0.6618E-05  0.1718E-04  0.7797E-05  0.1046E-04      -1   0.312E-06   20.00
  81   -80.0000   -1335.315 0.1184   0.6644E-05  0.1721E-04  0.4507E-05  0.6500E-05      -1   0.181E-06   20.00
  82   -81.0000   -1333.850 0.1184   0.6664E-05  0.1724E-04  0.2473E-05  0.6706E-05      -1   0.991E-07   20.00
  83   -82.0000   -1332.573 0.1185   0.6681E-05  0.1726E-04  0.4890E-06  0.7013E-05      -1   0.196E-07   20.00
  84   -83.0000   -1331.703 0.1185   0.6693E-05  0.1728E-04 -0.1336E-05  0.2777E-05      -1  -0.535E-07   20.00
  85   -84.0000   -1330.972 0.1185   0.6703E-05  0.1729E-04 -0.2065E-05  0.2674E-05      -1  -0.827E-07   20.00
  86   -85.0000   -1330.319 0.1185   0.6712E-05  0.1730E-04 -0.3289E-05  0.8621E-06      -1  -0.132E-06   20.00
  87   -86.0000   -1329.952 0.1185   0.6717E-05  0.1731E-04 -0.4384E-05  0.1420E-05      -1  -0.176E-06   20.00
  88   -87.0000   -1329.625 0.1185   0.6721E-05  0.1731E-04 -0.4540E-05  0.1395E-05      -1  -0.182E-06   20.00
  89   -88.0000   -1329.303 0.1185   0.6725E-05  0.1732E-04 -0.5141E-05  0.0000E+00      -1  -0.206E-06   20.00
  90   -89.0000   -1329.154 0.1185   0.6728E-05  0.1732E-04 -0.5664E-05  0.1341E-05      -1  -0.227E-06   20.00
  91   -90.0000   -1328.987 0.1185   0.6730E-05  0.1732E-04 -0.5782E-05  0.5980E-06      -1  -0.232E-06   20.00
